timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,position
3415413602,8,-2,-2,-2,-7,-10,15,-8,1
3415413602,-3,-3,0,4,8,25,39,25,1
3415426000,6,4,-2,-4,-7,-62,2,-3,1
3415426000,-3,-3,0,3,5,32,-15,4,1
3415434624,-12,0,2,-6,-5,-4,-41,-12,1
3415434624,11,3,0,2,-4,-13,26,-10,1
3415457082,-7,-9,-5,0,-3,-43,25,3,1
3415457082,8,5,0,-1,4,98,-69,7,1
3415458593,-14,0,4,-5,-2,-78,-3,-47,1
3415458593,0,6,-1,0,-2,35,20,1,1
3415472042,-13,-7,1,-4,-9,-57,-27,-6,1
3415472042,7,-5,1,3,3,14,10,-9,1
3415473647,3,8,0,-2,1,23,-30,22,1
3415473647,-4,-9,-4,-3,-4,-23,-11,-23,1
3415485726,1,0,3,-6,-1,15,-27,-10,1
3415485726,-2,1,-3,2,0,-19,14,10,1
3415494639,6,-3,1,1,-6,-19,-20,15,1
3415494639,2,-11,-5,3,6,15,37,7,1
3415509588,3,3,3,2,2,68,-3,-3,1
3415509588,2,-2,-3,-3,-6,-41,31,11,1
3415511097,-11,-7,0,4,9,30,3,-4,1
3415511097,-1,-7,-2,-3,-5,-58,9,23,1
3415532019,8,7,-3,3,2,19,12,7,1
3415532019,1,-5,-1,1,-2,-10,34,13,1
3415533602,-3,6,0,3,-1,26,-2,20,1
3415533602,-1,-6,-2,2,8,24,10,-7,1
3415545706,-4,3,-2,-4,-3,-25,-23,-45,1
3415545706,-16,5,2,-8,-9,-31,-2,14,1
3415554656,3,-16,3,-2,-5,1,-3,-7,1
3415554656,-8,0,-1,-7,-5,-11,-40,-35,1
3415569585,6,2,-5,9,6,18,42,12,1
3415569585,-3,1,-3,-3,-8,-21,-20,4,1
3415571152,2,10,-1,1,1,3,4,-5,1
3415571152,2,0,4,-2,7,-6,17,39,1
3415591994,0,-29,-6,2,3,47,-17,-10,1
3415591994,4,2,3,-9,-8,-31,-59,-25,1
3415593576,-3,-8,1,-1,3,21,21,-30,1
3415593576,-4,7,5,-4,-15,-71,-104,16,1
3415614564,7,8,-2,11,10,55,77,28,1
3415614564,-1,-6,0,4,12,31,45,20,1
3415616164,3,2,2,-11,-2,-45,-40,-43,1
3415616164,1,-2,3,-7,-8,-5,11,6,1
3415629548,-6,-5,1,-1,2,7,-47,-4,1
3415629548,1,21,3,1,-8,-48,-15,-1,1
3415631208,1,-35,-5,0,-3,13,19,10,1
3415631208,-4,-1,3,-1,-1,-39,7,-15,1
3415652043,-3,10,0,-9,0,-3,-64,24,1
3415652043,-2,-8,4,1,1,9,18,-6,1
3415653595,-5,2,-1,-1,-6,6,8,9,1
3415653595,8,15,1,7,7,40,8,-6,1
3415674534,-4,-4,1,-5,-10,-67,-8,0,1
3415674534,15,2,-4,10,5,5,49,0,1
3415676135,5,-3,-3,1,13,63,-61,-6,1
3415676135,-8,-18,-1,-8,-13,-18,-4,-73,1
3415688895,-5,-8,2,3,3,7,11,-13,1
3415688895,-5,2,-1,-4,-6,-59,3,-6,1
3415695719,6,9,-2,7,3,62,23,36,1
